t,Re_p1,Im_p1,Re_p2,Im_p2,g_t
7.281250000000000000e+00,1.895424534672052880e-02,1.836223466230574655e-02,-2.317861193179352255e-02,1.132590186899913587e-02,0.000000000000000000e+00
7.296875000000000000e+00,2.201392478140393183e-02,1.535800790664773770e-02,-2.397803980484885036e-02,8.585987116822306822e-03,0.000000000000000000e+00
7.312500000000000000e+00,2.455065761630251600e-02,2.083638544218532895e-02,-2.704174007470328336e-02,1.253952924901872990e-02,0.000000000000000000e+00
7.328125000000000000e+00,2.864618044097630434e-02,2.036347724558925862e-02,-2.792540713957379281e-02,1.756616589295030562e-02,0.000000000000000000e+00
7.343750000000000000e+00,2.601315928455244508e-02,1.494825140038868842e-02,-2.390246148497865430e-02,1.202619124182384425e-02,0.000000000000000000e+00
7.359375000000000000e+00,2.294744125351178693e-02,9.917616567539904587e-03,-2.749955609993064501e-02,9.254147238558940725e-03,0.000000000000000000e+00
7.375000000000000000e+00,2.402724076394402442e-02,1.271798755087127052e-02,-2.868689491516226986e-02,1.037093243203749023e-02,0.000000000000000000e+00
7.390625000000000000e+00,2.309294707476347575e-02,9.552970140430818921e-03,-2.586803509227125070e-02,8.589045968643327020e-03,0.000000000000000000e+00
7.406250000000000000e+00,2.031145623306069431e-02,7.191414230713184808e-03,-2.623263772825552148e-02,7.379169463515384587e-03,0.000000000000000000e+00
7.421875000000000000e+00,1.569412998180867366e-02,7.072584032124167724e-03,-2.680487498543573238e-02,9.196820294490844552e-03,0.000000000000000000e+00
7.437500000000000000e+00,1.469716573675188508e-02,4.390870665602341315e-03,-2.675633165758333279e-02,8.695310822494708991e-03,0.000000000000000000e+00
7.453125000000000000e+00,1.502381213153369463e-02,8.306278807654511251e-03,-2.297653134900640853e-02,8.544884218656503480e-03,0.000000000000000000e+00
7.468750000000000000e+00,1.356851072204099708e-02,1.100049222525842710e-02,-1.776937192436438967e-02,7.789862752203481622e-03,0.000000000000000000e+00
