t_z,z_t_puf1,z_t_puf2
2.671875e-10,1.6135551264270608e-05,1.2445626788769386e-05
2.6875000000000003e-10,1.638319087470029e-05,1.2586850267364526e-05
2.703125e-10,1.6875915236325584e-05,1.1635287394456284e-05
2.71875e-10,1.6819535695206584e-05,1.1513265285047002e-05
2.734375e-10,1.6811611915317105e-05,1.0951467592689588e-05
2.7500000000000003e-10,1.696640058668841e-05,1.0498734726301663e-05
2.765625e-10,1.673120499824991e-05,1.0793187894388833e-05
2.78125e-10,1.708561773873845e-05,1.0408572020767909e-05
2.796875e-10,1.7958147066521484e-05,1.0662105601267987e-05
2.8125e-10,1.781695052381445e-05,1.0545695224385356e-05
2.828125e-10,1.79254975132832e-05,1.1109858286679731e-05
2.84375e-10,1.7663110143865698e-05,1.0571503814316728e-05
2.8593750000000003e-10,1.7121395480651836e-05,1.0906662580184446e-05
2.875e-10,1.7418529215571256e-05,1.1531657780092141e-05
2.890625e-10,1.760633388216938e-05,1.0878916060241506e-05
2.90625e-10,1.7910879039422073e-05,1.0684536828862721e-05
2.9218750000000003e-10,1.820534756103733e-05,1.032913570263173e-05
2.9375e-10,1.809426295607253e-05,9.237955583281889e-06
2.953125e-10,1.805117946000669e-05,9.126910712483586e-06
2.96875e-10,1.9828283596684924e-05,1.0347022812855757e-05
2.9843750000000004e-10,2.0442010949393812e-05,9.963904507079486e-06
3e-10,2.052123657673439e-05,1.0428660450323174e-05
3.015625e-10,2.131692568560024e-05,1.1777905437189474e-05
3.0312500000000003e-10,2.301037560647193e-05,1.2504333443843782e-05
3.046875e-10,2.3705811077651613e-05,1.2729931602486609e-05
3.0625e-10,2.4227245199117057e-05,1.3384810397035972e-05
3.078125e-10,2.516322525027332e-05,1.3483935106405585e-05
3.0937500000000003e-10,2.640803559217823e-05,1.4128320763740985e-05
3.109375e-10,2.665632884818135e-05,1.5284494046899797e-05
3.125e-10,2.7471727154761546e-05,1.6305899911014055e-05
3.140625e-10,2.761134924640457e-05,1.730649936922148e-05
3.1562500000000003e-10,2.768176157251201e-05,1.822053115790765e-05
3.171875e-10,2.9020836897431875e-05,1.8884967153574496e-05
3.1875e-10,3.028545260416045e-05,2.108897604690178e-05
3.203125e-10,3.135498336686406e-05,2.147583508777802e-05
3.21875e-10,3.165873602730203e-05,2.1605098600423383e-05
3.234375e-10,3.2383366341951964e-05,2.1673848921895705e-05
3.25e-10,3.392788719557229e-05,2.154335015758791e-05
3.2656250000000003e-10,3.4962751082307136e-05,2.1430434822225402e-05
3.28125e-10,3.52401106574866e-05,2.168558300039278e-05
3.296875e-10,3.563448084325111e-05,2.1392387827882254e-05
3.3125e-10,3.6182404323082366e-05,2.2025125309001433e-05
3.3281250000000003e-10,3.660203836682756e-05,2.1577805602407995e-05
3.34375e-10,3.719920856759461e-05,2.074125179578592e-05
3.359375e-10,3.814422553872257e-05,2.0649290730257687e-05
3.375e-10,3.861746735795616e-05,2.1255331859202006e-05
3.3906250000000004e-10,3.9770073220898366e-05,2.2207158955616186e-05
3.40625e-10,3.966091719191377e-05,2.3707995701053094e-05
3.421875e-10,3.914974782120803e-05,2.4134754050123333e-05
3.4375000000000003e-10,3.9896176675790905e-05,2.519069057913888e-05
3.453125e-10,4.057056629096047e-05,2.5197188054477893e-05
3.46875e-10,4.1062913484905856e-05,2.5458451510104996e-05
3.484375e-10,4.0989441048930535e-05,2.5485962050821546e-05
3.5000000000000003e-10,4.018584470123641e-05,2.6239928302307837e-05
3.515625e-10,4.059925011306943e-05,2.6985789862167856e-05
3.53125e-10,3.9837216451794956e-05,2.7344980691659493e-05
3.546875e-10,4.021070484800912e-05,2.7813639672611415e-05
3.5625000000000004e-10,3.906748677739003e-05,2.8056319612098964e-05
3.578125e-10,3.827328658121154e-05,2.8487552203422525e-05
3.59375e-10,3.7619378746898604e-05,2.942073987088322e-05
3.6093750000000003e-10,3.635720263675651e-05,2.997875571526022e-05
3.625e-10,3.636246564796788e-05,3.0857945728054245e-05
3.640625e-10,3.589201692932892e-05,3.181928316959917e-05
3.65625e-10,3.499716439175531e-05,3.183362769941607e-05
3.6718750000000003e-10,3.438152098705302e-05,3.2386251804167284e-05
3.6875e-10,3.426189832175031e-05,3.215142079459017e-05
3.703125e-10,3.421029715299458e-05,3.308729661849163e-05
3.71875e-10,3.389891767750154e-05,3.397398770104409e-05
3.7343750000000004e-10,3.466244049719364e-05,3.4210686510336296e-05
3.75e-10,3.490336886997188e-05,3.422264212696008e-05
3.765625e-10,3.503727953917688e-05,3.356694579535586e-05
3.78125e-10,3.496308099432211e-05,3.3875345922251384e-05
3.7968750000000004e-10,3.515846239628248e-05,3.387933696187322e-05
3.8125e-10,3.478009773638616e-05,3.45493855422892e-05
3.828125e-10,3.5533734918344104e-05,3.411620659576409e-05
3.8437500000000003e-10,3.6105631522482855e-05,3.4748987570022965e-05
3.859375e-10,3.614242627023774e-05,3.4909885734527024e-05
3.875e-10,3.579509048227447e-05,3.444210538618768e-05
3.890625e-10,3.597011708241084e-05,3.402964468532496e-05
3.9062500000000003e-10,3.637181330292805e-05,3.361032195075864e-05
3.921875e-10,3.6227270519495236e-05,3.321072311077743e-05
3.9375e-10,3.598836579260979e-05,3.391857605601399e-05
3.953125e-10,3.613408039566415e-05,3.279336850156933e-05
3.9687500000000004e-10,3.461082946437492e-05,3.2114941160896766e-05
3.984375e-10,3.485423681901039e-05,3.1764365071871296e-05
4e-10,3.519479196893273e-05,3.141120610356162e-05
4.0156250000000003e-10,3.491707740809802e-05,3.049737465251186e-05
4.03125e-10,3.463506094558117e-05,2.9487064205467864e-05
4.046875e-10,3.5368622860671356e-05,2.9030115583658463e-05
4.0625e-10,3.463105767817698e-05,2.7790003344633493e-05
4.0781250000000003e-10,3.5391967264458864e-05,2.6528656702880413e-05
4.09375e-10,3.570099356593974e-05,2.498961819263922e-05
4.109375e-10,3.659887912524545e-05,2.4022782025829664e-05
4.125e-10,3.718689899156984e-05,2.3301953924829206e-05
4.1406250000000004e-10,3.789456248674501e-05,2.2876073338954564e-05
4.15625e-10,3.895826900552131e-05,2.1317459229830306e-05
4.171875e-10,4.0309775698670874e-05,2.078869305152268e-05
4.1875000000000003e-10,4.060657904208592e-05,1.9707290027278675e-05
4.203125e-10,4.082876494023792e-05,1.9499122071841677e-05
4.21875e-10,4.1527017164977777e-05,1.9711561905964868e-05
4.234375e-10,4.273854993567175e-05,1.956054295730113e-05
4.2500000000000003e-10,4.2816088566751255e-05,1.9816300627285687e-05
4.265625e-10,4.384464467528707e-05,2.0346695149633553e-05
4.28125e-10,4.446787304880051e-05,2.0489152206540862e-05
4.296875e-10,4.4153620210633247e-05,2.0751059975840834e-05
4.3125000000000004e-10,4.550462464935158e-05,2.078621642300838e-05
4.328125e-10,4.5751875449007845e-05,2.2030550018795626e-05
4.34375e-10,4.526150850148745e-05,2.291494354304187e-05
4.3593750000000003e-10,4.5527077930232986e-05,2.358779029515263e-05
4.3750000000000004e-10,4.50175828205437e-05,2.5240730897225415e-05
4.390625e-10,4.5067252362430304e-05,2.611497866329282e-05
4.40625e-10,4.5663890131713414e-05,2.7263454541055765e-05
